Race_ID,Horse,Predicted_Probability
3825,Imperial Fighter,0.06388728648043937
3825,Detroit Lion,0.1343799406787699
3825,Spectacular Style,0.10076957100373342
3825,Calanthe,0.10561791828787531
3825,Etretat,0.1814295528871478
3825,Stipulation,0.08680924790784271
3826,Gold Aura,0.23853928334383165
3826,Capstan,0.03799504373846925
3826,Doublethetrouble,0.10992901543504828
3826,Spitfire Bridge,0.10009618665554713
3826,Sophosc,0.10009618665554713
3826,Brividi,0.07506068046644596
3826,Further Measure,0.10009618665554713
3826,Arch Legend,0.10009618665554713
3826,Sir Joseph Swan,0.10009618665554713
3826,Balgowan,0.03799504373846925
3827,Sisterandbrother,0.06058903019902106
3827,Ace Rothstein,0.04442270092844345
3827,Young Endless,0.06058903019902106
3827,Paradoxical,0.2724358573411849
